OrgName,Cities,ST,AnyAMT,AnyAMTDate
First Integrity  NA,Staples,MN,12736,7/19/10
ANB  NA,Bentonville,AR,33901,6/28/10
Hume ,Hume,MO,1971,4/26/10
Douglass National ,Kansas City,MO,24660,3/15/10
Miami Valley ,Lakeview,OH,16848,11/22/09
Net,Alpharetta,GA,32575,11/16/09
Metropolitan Savings ,Pittsburgh,PA,35353,3/23/09
  Ephraim,Ephraim,UT,1249,8/14/06
Reliance ,White Plains,NY,26778,5/8/06
Guaranty National   Tallahassee,Tallahassee,FL,26838,5/1/06
Dollar Savings ,Newark,NJ,31330,4/4/06
Pulaski Savings ,Philadelphia,PA,27203,1/2/06
First National   Blanchardville,Blanchardville,WI,11639,6/27/05
